#lon lat slope aspect veg
11.67357 46.99149 7.28 261.33 1
11.68381 46.99149 4.08 303.27 1
11.69405 46.99149 19.59 14.59 1
11.70429 46.99149 19.59 14.59 1
11.71453 46.99149 39.88 12.13 1
11.81692 46.99149 35.92 352.66 1
11.82716 46.99149 13.39 324.15 1
11.83740 46.99149 11.48 153.73 1
11.84764 46.99149 11.48 153.73 1
11.85788 46.99149 17.19 145.87 1
11.86812 46.99149 14.95 162.43 1
11.87836 46.99149 16.01 152.79 1
11.88860 46.99149 16.01 152.79 1
11.89883 46.99149 18.39 128.34 1
11.90907 46.99149 18.32 121.32 8
11.91931 46.99149 16.50 143.24 10
11.92955 46.99149 18.75 154.53 10
11.93979 46.99149 18.75 154.53 10
11.95003 46.99149 14.54 147.08 2
11.96027 46.99149 1.90 258.01 2
11.97051 46.99149 12.04 330.67 10
11.98075 46.99149 12.04 330.67 10
11.99099 46.99149 16.75 331.55 10
12.00123 46.99149 18.51 318.12 10
12.01147 46.99149 15.73 315.72 10
12.02171 46.99149 12.25 310.47 1
12.03195 46.99149 12.25 310.47 1
12.04219 46.99149 12.87 302.86 1
12.05242 46.99149 10.47 312.15 1
12.06266 46.99149 4.15 342.25 1
12.07290 46.99149 4.15 342.25 1
12.08314 46.99149 8.78 113.22 1
12.09338 46.99149 11.19 145.82 1
12.10362 46.99149 9.43 201.60 1
12.11386 46.99149 6.00 221.72 1
12.12410 46.99149 6.00 221.72 1
12.13434 46.99149 1.59 155.17 1
11.26400 46.98125 10.36 22.67 1
11.27423 46.98125 3.61 45.48 1
11.28447 46.98125 3.61 45.48 1
11.29471 46.98125 5.15 142.78 1
11.30495 46.98125 11.56 146.51 1
11.31519 46.98125 17.22 156.52 1
11.32543 46.98125 19.86 178.22 1
11.33567 46.98125 19.86 178.22 1
11.34591 46.98125 20.97 183.74 1
11.35615 46.98125 17.90 197.62 1
11.36639 46.98125 9.65 163.38 1
11.37663 46.98125 9.65 163.38 1
11.44830 46.98125 7.81 128.86 1
11.45854 46.98125 15.21 143.94 2
11.46878 46.98125 15.21 143.94 2
11.47902 46.98125 12.99 150.78 8
11.48926 46.98125 3.27 241.19 10
11.49950 46.98125 17.94 294.04 10
11.50974 46.98125 16.90 292.52 1
11.51998 46.98125 16.90 292.52 1
11.53022 46.98125 4.13 229.92 1
11.54046 46.98125 14.23 154.64 1
11.55070 46.98125 18.77 161.54 1
11.56094 46.98125 18.77 161.54 1
11.57118 46.98125 19.30 160.48 8
11.58141 46.98125 18.24 162.02 10
11.59165 46.98125 16.69 169.48 10
11.60189 46.98125 14.59 167.58 10
11.61213 46.98125 14.59 167.58 10
11.62237 46.98125 8.97 170.61 8
11.63261 46.98125 3.75 267.60 2
11.64285 46.98125 16.34 197.18 8
11.65309 46.98125 16.34 197.18 8
11.66333 46.98125 14.28 218.50 1
11.67357 46.98125 11.91 226.01 1
11.68381 46.98125 10.25 245.84 1
11.69405 46.98125 14.87 285.62 1
11.70429 46.98125 14.87 285.62 1
11.71453 46.98125 14.67 333.91 1
11.77596 46.98125 9.09 190.48 1
11.78620 46.98125 12.45 168.60 1
11.79644 46.98125 12.45 168.60 1
11.80668 46.98125 10.07 169.29 1
11.81692 46.98125 13.35 135.73 1
11.82716 46.98125 13.64 141.99 1
11.83740 46.98125 13.10 137.66 1
11.84764 46.98125 13.10 137.66 1
11.85788 46.98125 10.83 133.15 1
11.86812 46.98125 8.72 139.69 1
11.87836 46.98125 13.52 135.63 7
11.88860 46.98125 13.52 135.63 7
11.89883 46.98125 15.83 134.57 10
11.90907 46.98125 17.63 121.03 10
11.91931 46.98125 16.49 122.69 10
11.92955 46.98125 8.51 139.47 2
11.93979 46.98125 8.51 139.47 2
11.95003 46.98125 6.53 310.49 2
11.96027 46.98125 19.27 321.88 10
11.97051 46.98125 20.52 332.71 10
11.98075 46.98125 20.52 332.71 10
11.99099 46.98125 16.31 340.44 10
12.00123 46.98125 14.57 318.47 10
12.01147 46.98125 13.21 314.05 10
12.02171 46.98125 14.71 319.79 1
12.03195 46.98125 14.71 319.79 1
12.04219 46.98125 14.91 319.53 1
12.05242 46.98125 5.41 335.19 1
12.06266 46.98125 10.07 130.09 1
12.07290 46.98125 10.07 130.09 1
12.08314 46.98125 16.26 135.07 1
12.09338 46.98125 2.75 191.54 1
12.10362 46.98125 11.94 315.62 1
12.11386 46.98125 13.33 330.93 1
12.12410 46.98125 13.33 330.93 1
12.13434 46.98125 11.37 2.74 1
11.25376 46.97101 6.91 52.37 1
11.26400 46.97101 12.51 103.96 1
11.27423 46.97101 18.17 138.55 1
11.28447 46.97101 18.17 138.55 1
11.29471 46.97101 22.90 159.51 1
11.30495 46.97101 25.70 159.04 1
11.31519 46.97101 25.08 159.21 8
11.32543 46.97101 25.12 171.26 8
11.33567 46.97101 25.12 171.26 8
11.34591 46.97101 26.84 182.44 8
11.35615 46.97101 28.07 199.66 8
11.36639 46.97101 23.74 191.18 1
11.37663 46.97101 23.74 191.18 1
11.38687 46.97101 13.67 151.12 1
11.39711 46.97101 2.06 11.86 1
11.41759 46.97101 1.54 28.95 1
11.42782 46.97101 1.54 28.95 1
11.43806 46.97101 7.96 129.92 1
11.44830 46.97101 14.56 124.85 2
11.45854 46.97101 11.07 126.90 10
11.46878 46.97101 11.07 126.90 10
11.47902 46.97101 3.09 300.01 10
11.48926 46.97101 13.93 308.86 10
11.49950 46.97101 16.82 293.57 1
11.50974 46.97101 7.98 259.77 1
11.51998 46.97101 7.98 259.77 1
11.53022 46.97101 13.95 144.83 1
11.54046 46.97101 21.10 146.65 8
11.55070 46.97101 19.37 161.91 10
11.56094 46.97101 16.67 164.88 10
11.57118 46.97101 16.67 164.88 10
11.58141 46.97101 12.36 167.18 10
11.59165 46.97101 7.27 178.65 2
11.60189 46.97101 2.75 252.41 2
11.61213 46.97101 2.75 252.41 2
11.62237 46.97101 11.94 317.78 10
11.63261 46.97101 19.96 326.91 10
11.64285 46.97101 20.48 339.32 1
11.65309 46.97101 15.56 349.99 1
11.66333 46.97101 15.56 349.99 1
11.67357 46.97101 11.49 301.83 1
11.68381 46.97101 15.07 260.86 1
11.69405 46.97101 15.40 234.57 1
11.70429 46.97101 15.40 234.57 1
11.71453 46.97101 15.53 214.63 1
11.76572 46.97101 4.42 150.95 1
11.77596 46.97101 16.65 160.38 1
11.78620 46.97101 16.18 183.73 1
11.79644 46.97101 16.18 183.73 1
11.80668 46.97101 11.70 188.72 1
11.81692 46.97101 15.59 131.99 1
11.82716 46.97101 16.22 143.04 1
11.83740 46.97101 12.94 156.73 1
11.84764 46.97101 12.94 156.73 1
11.85788 46.97101 10.57 145.15 1
11.86812 46.97101 8.25 144.76 1
11.87836 46.97101 12.83 113.07 1
11.88860 46.97101 12.83 113.07 1
11.89883 46.97101 15.52 120.48 11
11.90907 46.97101 18.15 127.72 10
11.91931 46.97101 13.87 125.52 2
11.92955 46.97101 5.26 295.14 2
11.93979 46.97101 5.26 295.14 2
11.95003 46.97101 19.54 308.65 10
11.96027 46.97101 21.23 314.50 10
11.97051 46.97101 16.76 329.21 10
11.98075 46.97101 16.76 329.21 10
11.99099 46.97101 15.97 344.62 8
12.00123 46.97101 17.44 336.45 1
12.01147 46.97101 19.41 327.02 1
12.02171 46.97101 17.72 329.32 1
12.03195 46.97101 17.72 329.32 1
12.04219 46.97101 6.49 350.52 1
12.05242 46.97101 12.44 128.56 1
12.06266 46.97101 19.64 136.53 1
12.07290 46.97101 19.64 136.53 1
12.08314 46.97101 6.09 162.84 10
12.09338 46.97101 13.99 299.10 1
12.10362 46.97101 15.30 312.48 1
12.11386 46.97101 12.57 327.36 1
12.12410 46.97101 12.57 327.36 1
12.13434 46.97101 12.12 358.43 1
11.18208 46.96077 10.65 128.04 1
11.19232 46.96077 10.65 128.04 1
11.20256 46.96077 9.76 118.84 1
11.21280 46.96077 8.69 110.90 1
11.22304 46.96077 5.03 189.49 1
11.23328 46.96077 11.23 203.21 1
11.24352 46.96077 11.23 203.21 1
11.25376 46.96077 11.22 156.05 1
11.26400 46.96077 14.55 106.17 1
11.27423 46.96077 16.94 90.21 1
11.28447 46.96077 16.94 90.21 1
11.29471 46.96077 12.49 93.14 2
11.30495 46.96077 7.79 88.43 8
11.31519 46.96077 8.39 66.95 8
11.32543 46.96077 8.63 75.30 10
11.33567 46.96077 8.63 75.30 10
11.34591 46.96077 4.97 142.72 2
11.35615 46.96077 14.54 197.70 11
11.36639 46.96077 23.15 191.36 8
11.37663 46.96077 23.15 191.36 8
11.38687 46.96077 24.25 189.91 8
11.39711 46.96077 20.75 201.02 8
